time_ms,raw,filtered
300656.000000,280334,282140.78
300753.000000,280348,281961.50
300849.000000,280673,281832.66
300945.000000,280326,281682.00
301042.000000,279895,281503.31
301138.000000,279685,281321.47
301234.000000,279849,281174.22
301331.000000,280163,281073.09
301427.000000,279659,280931.69
301523.000000,279517,280790.22
301619.000000,279625,280673.69
301716.000000,279280,280534.31
301812.000000,279032,280384.06
301908.000000,279034,280249.06
302005.000000,278935,280117.66
302101.000000,278455,279951.41
302197.000000,277912,279747.47
302294.000000,277750,279547.72
302390.000000,277335,279326.44
302486.000000,277075,279101.28
302583.000000,276670,278858.16
302679.000000,275934,278565.72
302775.000000,275463,278255.44
302872.000000,275107,277940.59
302968.000000,274723,277618.84
303064.000000,274095,277266.47
303161.000000,273758,276915.62
303257.000000,273563,276580.38
303353.000000,273552,276277.53
303450.000000,273312,275980.97
303546.000000,273072,275690.06
303643.000000,272777,275398.75
303739.000000,272583,275117.19
303835.000000,272406,274846.06
303932.000000,272176,274579.06
304028.000000,272178,274338.97
304124.000000,272499,274154.97
304221.000000,272545,273993.97
304317.000000,272270,273821.56
304413.000000,272505,273689.91
304510.000000,272875,273608.41
304606.000000,273162,273563.75
304702.000000,273014,273508.78
304799.000000,272936,273451.50
304895.000000,273242,273430.53
304991.000000,273407,273428.16
305088.000000,273524,273437.72
305184.000000,273409,273434.84
305280.000000,273225,273413.88
305377.000000,273229,273395.38
305473.000000,273697,273425.53
305569.000000,273892,273472.16
305666.000000,273958,273520.75
305762.000000,274020,273570.69
305858.000000,274527,273666.31
305955.000000,274724,273772.06
306051.000000,274298,273824.66
306147.000000,274661,273908.28
306244.000000,274386,273956.06
306340.000000,273786,273939.06
306436.000000,273476,273892.75
306533.000000,272793,273782.78
306629.000000,272223,273626.81
306725.000000,272417,273505.81
306822.000000,272221,273377.31
306918.000000,271919,273231.47
307014.000000,271657,273074.00
307111.000000,271559,272922.50
307207.000000,271313,272761.56
307303.000000,270868,272572.22
307400.000000,270095,272324.50
307496.000000,269636,272055.66
307592.000000,269468,271796.88
307689.000000,269121,271529.28
307785.000000,268829,271259.25
307881.000000,268799,271013.22
307978.000000,268490,270760.91
308074.000000,268781,270562.91
308170.000000,268812,270387.81
308267.000000,268930,270242.03
308363.000000,268943,270112.12
308459.000000,268826,269983.50
308556.000000,269068,269891.94
308652.000000,269254,269828.12
308748.000000,269428,269788.12
308845.000000,269307,269740.00
308941.000000,269719,269737.91
309037.000000,270028,269766.91
309134.000000,269695,269759.72
309230.000000,269184,269702.12
309326.000000,269287,269660.59
309423.000000,269164,269610.94
309519.000000,269006,269550.44
309615.000000,268869,269482.28
309712.000000,268535,269387.56
309808.000000,268403,269289.09
309904.000000,268109,269171.06
310001.000000,268162,269070.16
310097.000000,267867,268949.84
310193.000000,267731,268827.97
310290.000000,267604,268705.56
310386.000000,267382,268573.19
310482.000000,267112,268427.06
310579.000000,267064,268290.75
310675.000000,267082,268169.88
310771.000000,266686,268021.47
310868.000000,266762,267895.50
310964.000000,266881,267794.03
311060.000000,267888,267803.44
311157.000000,268033,267826.41
311253.000000,267678,267811.56
311349.000000,267348,267765.22
311446.000000,267490,267737.69
311542.000000,267825,267746.41
311638.000000,268195,267791.28
311735.000000,267713,267783.44
311831.000000,267095,267714.59
311927.000000,266349,267578.03
312024.000000,265547,267374.91
312120.000000,265896,267227.00
312216.000000,266632,267167.50
312313.000000,264077,266858.44
312409.000000,262392,266411.78
312505.000000,263593,266129.91
312602.000000,279543,267471.22
312698.000000,356056,276329.69
312794.000000,472167,295913.41
312891.000000,546032,320925.25
312987.000000,594647,348297.41
313083.000000,633935,376861.16
313180.000000,659466,405121.62
313276.000000,669844,431593.84
313372.000000,650733,453507.75
313469.000000,544377,462594.66
313565.000000,376161,453951.28
313661.000000,291110,437667.16
313758.000000,281216,422022.03
313854.000000,275718,407391.62
313950.000000,266595,393311.94
314047.000000,282250,382205.72
314143.000000,323536,376338.72
314239.000000,380334,376738.25
314336.000000,419000,380964.41
314432.000000,430315,385899.47
314528.000000,440298,391339.31
314625.000000,451804,397385.78
314721.000000,465216,404168.78
314817.000000,475584,411310.31
314914.000000,477456,417924.88
315010.000000,431266,419258.97
315106.000000,320445,409377.56
315203.000000,265405,394980.28
315299.000000,261882,381670.44
315395.000000,262399,369743.28
315492.000000,264008,359169.75
315588.000000,264905,349743.28
315684.000000,270536,341822.53
315781.000000,276969,335337.19
315877.000000,308498,332653.28
315973.000000,381212,337509.12
316070.000000,441263,347884.53
316166.000000,468899,359985.97
316262.000000,472275,371214.88
316359.000000,467043,380797.69
316455.000000,466630,389380.91
316551.000000,452068,395649.62
316648.000000,378423,393926.97
316744.000000,295644,384098.66
316840.000000,272612,372949.97
316937.000000,268998,362554.78
317033.000000,264270,352726.28
317129.000000,260107,343464.34
317226.000000,265549,335672.81
317322.000000,269956,329101.12
317418.000000,269455,323136.50
317515.000000,268954,317718.25
317611.000000,272417,313188.09
317707.000000,272507,309119.97
317804.000000,290877,307295.66
317900.000000,359328,312498.91
317996.000000,451790,326428.00
318093.000000,504640,344249.19
